"Time","latitude","lat_error","longitude","lon_error","depth_km","depth_error","mag_val","rms","event_id","earthquake_name","event_type","evaluationStatus","creationInfo_author","creation_time","quality_usedPhaseCount","picks_mean"
1678431649.0000,0.8038,0.1414,-77.9275,0.1414,-0.5100,0.2000,1.5095,0.0500,igepn2023eukf,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:00:49,16.0000,7.0000
1678431649.0000,0.8038,0.1414,-77.9267,0.1414,-0.5100,0.2000,1.5100,0.0500,igepn2023eukg,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 02:00:49,16.0000,7.0000
1678425053.0000,0.7895,0.4243,-77.9197,0.4243,-2.0000,0.4000,1.8426,0.0900,igepn2023eugn,VT,volcanic eruption,reviewed,acordova,2023-03-10 00:10:53,12.0000,7.0000
1678424473.0000,0.8062,0.1414,-77.9247,0.1414,-0.7500,0.2000,2.0924,0.0300,igepn2023eugg,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-10 00:01:13,12.0000,6.0000
1678424439.0000,0.8038,0.2121,-77.9278,0.2121,-0.1900,0.3000,1.5868,0.0600,igepn2023eugf,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-10 00:00:39,13.0000,7.0000
1678423992.0000,0.8012,0.2121,-77.9220,0.2121,-0.6700,0.3000,1.5665,0.0600,igepn2023euga,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:53:12,12.0000,7.0000
1678423992.0000,0.8038,0.2828,-77.9222,0.2828,-0.8400,0.4000,1.5649,0.0500,igepn2023eugb,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:53:12,12.0000,7.0000
1678423905.0000,0.7918,0.4243,-77.9288,0.4243,-2.7100,0.4000,1.7329,0.0900,igepn2023eufz,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:51:45,14.0000,6.0000
1678423905.0000,0.7942,0.4243,-77.9282,0.4243,-3.2200,0.7000,1.7278,0.0800,igepn2023eufy,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:51:45,14.0000,6.0000
1678423774.0000,0.8067,0.2828,-77.9280,0.2828,-1.9600,0.6000,1.9796,0.0600,igepn2023eufw,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:49:34,13.0000,7.0000
1678423628.0000,0.8078,0.1414,-77.9312,0.1414,0.1000,0.1000,1.7271,0.0400,igepn2023eufu,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:47:08,15.0000,7.0000
1678423408.0000,0.7920,0.6364,-77.9375,0.6364,-4.0000,0.9000,2.4082,0.1600,igepn2023eufq,VT,volcanic eruption,reviewed,jsanto@srvmonscpv,2023-03-09 23:43:28,17.0000,8.0000
